ID_Eventos,FechaHora,ID_Sitio,Nombre_Actividad,Cantidad,Camera,Descripcion,ID_Usuario,Eventoscol
497,"2025-11-16 02:13:30",230,Pickup,0,29,"Blue SUV out Charging Station",33,NULL
498,"2025-11-16 02:13:46",230,"Cleaner out",2,02,,33,NULL
499,"2025-11-16 04:00:22",291,Break,0,,"back at 05:00 AM",33,NULL
500,"2025-11-16 05:46:10",164,"First Employee",0,03,,33,NULL
501,"2025-11-16 05:47:51",133,Dropoff,0,05,"3 vehicles",54,NULL
502,"2025-11-16 05:52:13",164,"First Employee",1,09,"picup truck gray",35,NULL
503,"2025-11-16 05:59:34",291,"START SHIFT",0,,"Do Not Edit - No Editar",7,NULL
505,"2025-11-16 06:00:00",338,"Charging Station",1,4,,63,NULL
506,"2025-11-16 06:09:42",291,"Change Split",0,,"Split 9 station 3 lux",72,NULL
507,"2025-11-16 06:10:32",291,"Change Split",0,,"Split 15",68,NULL
508,"2025-11-16 06:10:40",291,"Change Split",0,,15,42,NULL
509,"2025-11-16 06:10:48",163,"Change Split",0,,15-7,22,NULL
510,"2025-11-16 06:10:37",291,"Change Split",0,,15/6,35,NULL
511,"2025-11-16 06:10:50",291,"Change Split",0,,"SP15 ST10",44,NULL
512,"2025-11-16 06:10:19",163,"Change Split",0,,"Split 15  stat 15- also took stat 14 until 6:12",7,NULL
513,"2025-11-16 06:10:48",291,"Change Split",0,0,"split 15",10,NULL
514,"2025-11-16 06:10:40",291,"Change Split",1,0,"TO SPLIT 15, STATION 9",8,NULL
515,"2025-11-16 06:12:22",131,"Cleaner on site",1,32,,35,NULL
516,"2025-11-16 06:09:11",291,"Change Split",0,,SP9-ST4,31,NULL
517,"2025-11-16 06:12:57",291,"Change Split",0,,"split 15/5",56,NULL
518,"2025-11-16 06:17:53",131,Dropoff,1,13,"1 sedan / 6 suv/ 6:50",35,NULL
519,"2025-11-16 19:29:00",291,"START SHIFT",1,-,"Do Not Edit - No Editar",43,NULL
520,"2025-11-16 06:10:16",291,"Change Split",0,,"Split 5-5",25,NULL
521,"2025-11-16 06:24:55",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",84,NULL
522,"2025-11-16 06:26:54",168,"Cleaner in",1,72,"black shirt",56,NULL
523,"2025-11-16 06:10:12",291,"Change Split",15,,,33,NULL
525,"2025-11-16 06:30:10",344,Dropoff,9,20,"9 Vehicles",72,NULL
527,"2025-11-16 06:33:17",168,"Cleaner in",1,157,"BLACK SUV",56,NULL
528,"2025-11-16 06:27:30",291,"Covered by",0,,"By Elizabeth C. until 6:36",25,NULL
529,"2025-11-16 06:53:46",291,"Covered by",0,,"OUT: 6:43",44,NULL
530,"2025-11-16 06:54:43",291,"START SHIFT",0,,"Do Not Edit - No Editar",44,NULL
531,"2025-11-16 06:54:53",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",44,NULL
532,"2025-11-16 06:54:28",291,"Covered by",0,,"6:59 - Edwin Ortiz",31,NULL
533,"2025-11-16 06:56:49",249,"First Employee",1,11,"Red Sedan",22,NULL
534,"2025-11-16 06:50:46",128,"First Employee",1,07,"White SUV",68,NULL
535,"2025-11-16 06:53:00",291,"Covered by",1,0,"BACK AT  6:59 AM",8,NULL
536,"2025-11-16 07:00:00",324,"First Employee",1,02,"Sedan blanco",31,NULL
537,"2025-11-16 07:02:27",344,"First Employee",1,,,72,NULL
539,"2025-11-16 06:58:20",121,Dropoff,1,05,"Black Sedan",42,NULL
540,"2025-11-16 07:07:13",121,"First Employee",1,1,"Black Pick Up Truck",42,NULL
541,"2025-11-16 06:35:28",342,"Employee on site",1,62,,54,NULL
542,"2025-11-16 07:13:25",162,"First Employee",1,76B,,48,NULL
543,"2025-11-16 06:56:01",280,"Security Patroling",1,3,,63,NULL
544,"2025-11-16 07:24:13",291,"Change Split",1,,"SPLIT 13/5",56,NULL
545,"2025-11-16 06:08:29",291,"Covered by",0,,"Edwin Ortiz / 6:17",54,NULL
546,"2025-11-16 07:27:27",291,"Change Split",0,,"Split 13",68,NULL
547,"2025-11-16 07:27:27",163,"Change Split",0,,"split 13",7,NULL
548,"2025-11-16 07:27:37",291,"Change Split",0,,13,42,NULL
549,"2025-11-16 07:27:36",291,"Change Split",1,0,"TO SPLIT 13, ST 9",8,NULL
550,"2025-11-16 07:27:39",291,"Change Split",0,,"Sp 13 St 10",48,NULL
551,"2025-11-16 07:27:43",291,"Change Split",0,0,"split 13",10,NULL
552,"2025-11-16 06:10:04",291,"Change Split",0,,"SP 9 ST 7 LUX",63,NULL
553,"2025-11-16 07:26:19",291,"Change Split",0,,13/6,35,NULL
554,"2025-11-16 07:24:16",291,"Change Split",0,,13-7,22,NULL
555,"2025-11-16 07:27:23",291,"Change Split",0,,"SP 7 ST 7 LUX",63,NULL
556,"2025-11-16 07:28:05",291,"Change Split",0,,"S 7/3",72,NULL
557,"2025-11-16 07:28:00",291,"Change Split",0,,SP7-ST4,31,NULL
558,"2025-11-16 07:31:54",291,"Took station over",0,,"st3 splt 7",54,NULL
559,"2025-11-16 07:33:43",121,"First Employee",1,53,"Arrrives in a  Red Ford mustang",48,NULL
561,"2025-11-16 07:27:16",291,"Change Split",14,,,33,NULL
564,"2025-11-16 07:28:19",163,"Took station over",0,,"stat 3 - split 13",7,NULL
565,"2025-11-16 00:31:35",291,covers,0,,12:42,54,NULL
566,"2025-11-16 01:00:47",291,Break,0,,"For Kevin Vergara / 2 am",54,NULL
567,"2025-11-16 01:25:48",291,"Covered by",0,,"Andres Galvis / 01:30",54,NULL
568,"2025-11-16 02:02:31",291,Break,0,,"For Maritza O / 03:02",54,NULL
569,"2025-11-16 03:02:23",291,Break,0,,"Covered by nobody / 4:01",54,NULL
570,"2025-11-16 04:02:33",291,covers,0,,05:01,54,NULL
571,"2025-11-16 05:02:19",291,Break,0,,"For Yosselin Candela / 06:01",54,NULL
572,"2025-11-16 07:45:56",130,"Cleaner in",1,1,"1:12 -02:24 ahhhhhh",4,NULL
573,"2025-11-16 06:09:13",291,"Took station over",0,,"9/9 LUX",54,NULL
574,"2025-11-16 07:46:51",118,"Employee on site",1,,,72,NULL
575,"2025-11-16 07:55:28",230,Dropoff,0,24,"Hatchback green",56,NULL
576,"2025-11-16 07:27:09",291,"Change Split",0,,"Split 7-5",25,NULL
577,"2025-11-16 07:58:17",291,"OMNIA Crash",0,,"Until 7:59:01",42,NULL
578,"2025-11-16 08:03:59",140,Dropoff,2,01,"grey suv / black pick up truck",10,NULL
579,"2025-11-16 08:04:39",159,"Cleaner on site",2,85,,8,NULL
580,"2025-11-16 08:02:39",159,"Contractor in",1,01,,25,NULL
581,"2025-11-16 08:14:09",223,"First Employee",1,12,"green pick up truck",10,NULL
582,"2025-11-16 08:17:43",150,"First Employee",1,78,,42,NULL
583,"2025-11-16 08:27:54",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",63,NULL
584,"2025-11-16 08:29:29",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",68,NULL
585,"2025-11-16 08:29:34",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",33,NULL
586,"2025-11-16 08:29:49",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",86,NULL
587,"2025-11-16 08:29:53",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",42,NULL
588,"2025-11-16 08:29:53",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",31,NULL
589,"2025-11-16 08:29:57",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",54,NULL
590,"2025-11-16 08:30:02",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",22,NULL
591,"2025-11-16 08:30:29",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",8,NULL
592,"2025-11-16 08:30:57",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",56,NULL
593,"2025-11-16 08:31:03",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",7,NULL
594,"2025-11-16 08:31:03",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",25,NULL
595,"2025-11-16 08:31:19",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",35,NULL
596,"2025-11-16 08:31:43",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",10,NULL
597,"2025-11-16 08:32:09",291,"START SHIFT",0,,"Do Not Edit - No Editar",80,NULL
600,"2025-11-16 08:30:39",324,"Detailer on site",1,72,,26,NULL
601,"2025-11-16 08:37:58",291,"START SHIFT",0,,"Do Not Edit - No Editar",26,NULL
602,"2025-11-16 08:37:33",324,"Detailer on site",1,72,,26,NULL
603,"2025-11-16 08:39:29",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",48,NULL
604,"2025-11-16 08:41:56",324,"Detailer on site",1,72,,26,NULL
605,"2025-11-16 08:45:42",291,"START SHIFT",0,,"Do Not Edit - No Editar",65,NULL
606,"2025-11-16 08:30:00",291,"START SHIFT",0,,"Do Not Edit - No Editar",52,NULL
607,"2025-11-16 08:45:45",291,"Change Split",0,,"Split 10/4 luxriot",26,NULL
608,"2025-11-16 08:37:00",291,"Took station over",0,,"TOOK STATION 13",65,NULL
609,"2025-11-16 08:35:22",167,"Employee on site",2,16,,52,NULL
611,"2025-11-16 08:40:04",291,"Change Split",0,,"TO SPLIT 18",65,NULL
612,"2025-11-16 08:40:19",291,"Change Split",1,,"13/4 to 18/4",52,NULL
613,"2025-11-16 08:40:37",273,"Site Down",0,,,65,NULL
614,"2025-11-16 08:57:34",340,Dropoff,1,15,"Black sedan",26,NULL
615,"2025-11-16 08:52:00",344,"Detailer on site",1,05,,80,NULL
616,"2025-11-16 09:43:03",291,"OMNIA Crash",0,,"CAMILO M TOOK STATION, BACK AT 9:43",65,NULL
617,"2025-11-16 10:50:10",345,"First Employee",1,2,"Black Sedan",26,NULL
618,"2025-11-16 08:30:06",291,"Change Split",0,,"SP13 ST10 - SP13 ST13",79,NULL
619,"2025-11-16 08:35:22",121,"Employee on site",1,54,,79,NULL
621,"2025-11-16 09:29:23",121,"Detailer in",1,54,"VAN BLANCA",79,NULL
622,"2025-11-16 11:21:49",291,"Covered by",0,,"BY SANTIAGO F, BACK AT 11:31",65,NULL
623,"2025-11-16 08:30:55",291,"START SHIFT",0,,"Do Not Edit - No Editar",79,NULL
624,"2025-11-16 11:22:01",291,"START SHIFT",0,,"Back at 11:29",59,NULL
626,"2025-11-16 11:38:36",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",59,NULL
627,"2025-11-16 11:31:05",269,"First Employee",0,1,"BLACK PICK UP",65,NULL
628,"2025-11-16 11:34:27",269,"Employee in",0,4,"WHITE SEDAN",65,NULL
629,"2025-11-16 11:58:34",291,"Change Split",0,,"TO SPLIT 15",65,NULL
630,"2025-11-16 11:58:32",291,"Change Split",0,,"Split 8/4 Luxriot",26,NULL
631,"2025-11-16 11:58:49",291,"Change Split",1,,"18/4 to 15/4",52,NULL
632,"2025-11-16 08:30:19",291,"Change Split",0,,"SP13 ST10",79,NULL
634,"2025-11-16 08:40:11",291,"Change Split",0,,"SP18 ST10",79,NULL
636,"2025-11-16 12:01:13",236,"Cleaner on site",0,39,,65,NULL
637,"2025-11-16 08:35:20",291,"Took station over",0,,split13st13,36,NULL
638,"2025-11-16 08:35:25",291,"START SHIFT",0,,"Do Not Edit - No Editar",36,NULL
639,"2025-11-16 08:45:36",128,"Detailer out",1,45,"black pick up truck",36,NULL
640,"2025-11-16 10:45:56",140,Dropoff,1,10,"Carhauler bring 2 cars",36,NULL
641,"2025-11-16 11:00:41",140,Pickup,1,01,"carhauler take 2 cars",36,NULL
642,"2025-11-16 12:10:36",236,Delivery,0,9,"WHITE TRUCK",65,NULL
643,"2025-11-16 12:32:31",266,Dropoff,1,05,"Blue Pickup Truck",52,NULL
644,"2025-11-16 12:45:45",236,"Delivery out",0,9,"WHITE TRUCK",65,NULL
645,"2025-11-16 12:46:07",292,Pickup,1,9,"Black Sedan",26,NULL
646,"2025-11-16 12:56:46",236,"Cleaner out",0,,"REPORTED BY CALL",65,NULL
648,"2025-11-16 12:17:15",129,"Cleaner on site",1,64,"Black suv, left at 14:23pm",36,NULL
649,"2025-11-16 12:42:57",129,"Employee out",1,59,"Black suv",36,NULL
650,"2025-11-16 12:48:57",135,"Delivery out",1,66,,36,NULL
651,"2025-11-16 11:58:30",291,"Change Split",0,,"SP15 ST10",79,NULL
652,"2025-11-16 12:25:22",201,"Cleaner on site",1,48,"OUT 12:27 CAM 4 SEDAN ROJO",79,NULL
653,"2025-11-16 12:46:55",125,Dropoff,1,4,"BLACK PICK UP, OUT AT 12:51",65,NULL
654,"2025-11-16 13:01:30",335,Dropoff,1,27,"Gray Sedan",26,NULL
655,"2025-11-16 12:55:52",274,Pickup,1,08,"Gray SUV",52,NULL
656,"2025-11-16 13:11:36",169,"Cleaner in",0,43,"BLACK SUV",65,NULL
657,"2025-11-16 08:26:55",291,"START SHIFT",0,,"Do Not Edit - No Editar",16,NULL
658,"2025-11-16 13:33:03",241,"Employee out",1,4,"SEDAN NEGRO",79,NULL
659,"2025-11-16 13:46:41",169,"Cleaner out",0,43,"BLACK SUV, REPORTED BY CALL",65,NULL
660,"2025-11-16 13:50:58",266,Dropoff,1,02,"Black SUV",52,NULL
661,"2025-11-16 14:10:07",292,Dropoff,1,9,"Gray pickup truk",26,NULL
662,"2025-11-16 13:06:43",125,Dropoff,1,5,"BLACK PICK UP, OUT AT 13:19",65,NULL
665,"2025-11-16 13:50:35",140,Dropoff,1,10,"carhauler bring 8 cars",36,NULL
666,"2025-11-16 14:22:57",135,"Employee in",1,10,"black sedan",36,NULL
667,"2025-11-16 15:05:55",266,"Switch Car",1,14,"white flatbed for a white pickup truck",52,NULL
668,"2025-11-16 15:08:25",171,"Cleaner out",2,7,"SEDAN BLANCO",79,NULL
669,"2025-11-16 14:31:51",190,Dropoff,1,18,"flatbedtruck bring black sedan",36,NULL
670,"2025-11-16 15:08:16",129,Pickup,1,41,"black suv",36,NULL
671,"2025-11-16 15:10:18",291,"Covered by",0,,"BY ANDRES C, BACK AT 15:20",65,NULL
672,"2025-11-16 15:22:47",292,Dropoff,1,9,"Black SUV",26,NULL
673,"2025-11-16 12:38:00",339,"Switch Car",1,13,"sedan gris,  * se llevan  pickup negra",80,NULL
674,"2025-11-16 15:12:00",288,"Police Patroling",1,35,,80,NULL
675,"2025-11-16 16:01:00",339,Dropoff,1,09,"1 vehiculo pickup negra",80,NULL
676,"2025-11-16 16:03:27",125,Dropoff,1,4,"BLACK SUV, OUT AT 16:09",65,NULL
677,"2025-11-16 16:21:16",292,Dropoff,1,9,"Black sedan",26,NULL
678,"2025-11-16 16:20:00",339,Dropoff,1,18,"1 vehiculo sedan blanco",80,NULL
679,"2025-11-16 16:25:48",125,Pickup,1,12,"DARK GRAY PICK UP",65,NULL
680,"2025-11-16 16:33:04",190,Dropoff,1,2,"Black sedan",73,NULL
681,"2025-11-16 16:43:20",335,Dropoff,1,26,"Black SUV",26,NULL
682,"2025-11-16 16:44:00",190,Dropoff,1,18,"Silver Sedan",73,NULL
683,"2025-11-16 16:55:35",335,Dropoff,1,27,"Black sport",26,NULL
684,"2025-11-16 16:58:35",140,Dropoff,1,10,"Blue pick up truck",73,NULL
685,"2025-11-16 17:07:21",292,Dropoff,1,09,"Black SUV",26,NULL
686,"2025-11-16 16:02:37",135,"cleaner in",2,,"call to check in",36,NULL
687,"2025-11-16 17:35:33",162,"Detailer on site",2,45,,79,NULL
688,"2025-11-16 17:32:57",125,Dropoff,1,4,"black sedan, out at 17:39",65,NULL
689,"2025-11-16 17:41:10",335,Dropoff,1,27,"White sedan",26,NULL
690,"2025-11-16 17:43:44",292,Dropoff,1,09,"Blue pickup truck",26,NULL
691,"2025-11-16 17:42:30",236,"Charging Station",0,5,"white suv out",65,NULL
692,"2025-11-16 18:00:29",224,"Cleaner in",2,12,,52,NULL
693,"2025-11-16 16:43:00",350,Dropoff,1,01,"1 vehiculo sedan verde",80,NULL
694,"2025-11-16 17:48:00",339,Dropoff,1,09,"1 vehiculo svc blanco",80,NULL
695,"2025-11-16 08:23:50",291,"START SHIFT",0,,"Do Not Edit - No Editar",89,NULL
696,"2025-11-16 18:19:10",237,"Cleaner out",0,16,"BLACK SUV",79,NULL
697,"2025-11-16 17:10:43",266,Dropoff,1,46,"Red SUV",52,NULL
698,"2025-11-16 18:23:36",140,Dropoff,1,10,"Carhauler bring 6 cars",36,NULL
699,"2025-11-16 18:39:26",129,"Cleaner out",1,21,"Black suv",36,NULL
700,"2025-11-16 18:01:57",291,Break,0,,"covered by kelly back at 19:01",65,NULL
